source,bucket,touchstone,ConfigID,grid_dim,rows,cols,n_cells,n_signal,n_ground,n_zero,f_signal,f_ground,f_zero,Radius,Pitch,Height,Liner,Frequency,Temperature,elapsed_s,status,Arrangement
small_10k,3x3-7x7,Line00021_T395K.s26p,Line00021,7,6,7,42,13,16,13,0.30952380952380953,0.38095238095238093,0.30952380952380953,5.854479908357012e-06,5.4120378218694404e-05,7.177795568278343e-05,1.4627443215048131e-06,85128553484.53401,395.0766015468833,,,"[[0, -1, 0, -1, 0, -1, 1], [0, 1, -1, 1, 1, -1, 1], [1, 1, -1, 1, -1, -1, -1], [-1, 0, 1, 0, -1, 0, -1], [-1, -1, 0, 0, 0, 0, 0], [1, 0, -1, -1, 1, 1, 1]]"
small_10k,3x3-7x7,Line00022_T376K.s14p,Line00022,4,4,3,12,7,1,4,0.5833333333333334,0.08333333333333333,0.3333333333333333,5.720067339243328e-06,2.2816645233981756e-05,6.835674870461441e-05,2.1778587920601266e-06,35928813451.48677,376.2490947209216,,,"[[0, 1, 0], [1, 1, 0], [1, 1, -1], [0, 1, 1]]"
small_10k,3x3-7x7,Line00023_T483K.s12p,Line00023,4,4,4,16,6,4,6,0.375,0.25,0.375,4.835643987640475e-06,4.211279907631631e-05,7.186040574591195e-05,1.5494521411156912e-06,25695073665.08636,483.4541132597042,,,"[[0, 1, 1, -1], [0, -1, 1, 0], [-1, 1, -1, 0], [0, 1, 1, 0]]"
small_10k,3x3-7x7,Line00024_T502K.s8p,Line00024,6,6,4,24,4,10,10,0.16666666666666666,0.4166666666666667,0.4166666666666667,2.203074124157588e-06,5.546468595802639e-05,6.11046708749482e-05,1.947162238768897e-06,43903564889.50689,501.60784058855984,,,"[[1, 0, -1, -1], [-1, 0, -1, -1], [1, 0, -1, -1], [0, -1, 0, -1], [1, 0, 1, 0], [-1, 0, 0, 0]]"
small_10k,3x3-7x7,Line00025_T338K.s12p,Line00025,5,5,3,15,6,4,5,0.4,0.26666666666666666,0.3333333333333333,4.363333042276043e-06,2.122000999756198e-05,6.149392754996858e-05,2.5565014016491456e-06,36083045076.98516,338.11815379556543,,,"[[0, 1, -1], [1, 1, 1], [1, 0, -1], [0, -1, -1], [1, 0, 0]]"
small_10k,3x3-7x7,Line00026_T514K.s14p,Line00026,7,3,7,21,7,6,8,0.3333333333333333,0.2857142857142857,0.38095238095238093,3.6454156202267145e-06,4.798048843068775e-05,6.553412369671205e-05,8.318635556074245e-07,96956733024.70448,514.3785312539856,,,"[[1, 0, -1, 1, 1, -1, -1], [0, 1, -1, 0, -1, 0, 0], [0, 1, -1, 0, 1, 0, 1]]"
small_10k,3x3-7x7,Line00027_T423K.s12p,Line00027,5,5,3,15,6,4,5,0.4,0.26666666666666666,0.3333333333333333,2.3138255253690636e-06,2.10140297366183e-05,9.8505936587117e-05,2.5899503012805147e-06,69627823188.76042,422.68588332428095,,,"[[-1, 0, 1], [1, 0, 0], [1, 1, 1], [-1, -1, 0], [-1, 0, 1]]"
small_10k,3x3-7x7,Line00028_T497K.s12p,Line00028,4,4,4,16,6,5,5,0.375,0.3125,0.3125,2.3754931603251668e-06,2.7314639884292295e-05,9.738455989358839e-05,2.0956764846083763e-06,51717956116.91401,497.13339855005006,,,"[[-1, 1, -1, -1], [1, 1, 0, 0], [0, -1, -1, 1], [0, 0, 1, 1]]"
small_10k,3x3-7x7,Line00029_T352K.s32p,Line00029,7,7,7,49,16,19,14,0.32653061224489793,0.3877551020408163,0.2857142857142857,4.814631437520095e-06,3.8966953163493005e-05,6.391336642604006e-05,1.7290396877920808e-06,47399829900.97851,351.96056097300453,,,"[[1, -1, 1, 1, -1, -1, 0], [-1, -1, 1, 0, 1, 0, 0], [-1, -1, 1, 1, 0, -1, 1], [-1, 1, -1, 0, 0, 0, 1], [0, -1, -1, -1, -1, 1, 1], [-1, 1, -1, -1, 0, 1, 0], [-1, -1, 0, 1, 1, 0, 0]]"
small_10k,3x3-7x7,Line00030_T493K.s22p,Line00030,7,7,4,28,11,7,10,0.39285714285714285,0.25,0.35714285714285715,4.012545034320351e-06,5.425959364753289e-05,8.63477452647578e-05,9.073360677035742e-07,7149817865.302941,492.7257834618947,,,"[[0, 1, -1, 0], [0, 1, 1, -1], [0, 1, -1, 0], [1, 0, 0, -1], [0, 1, 1, -1], [1, 0, 1, 0], [1, -1, -1, 1]]"
small_10k,3x3-7x7,Line00031_T588K.s18p,Line00031,6,3,6,18,9,3,6,0.5,0.16666666666666666,0.3333333333333333,4.573152873769413e-06,3.833011561966066e-05,8.18246715726374e-05,2.853662021941313e-06,38671653516.29735,588.3571691471743,,,"[[0, 0, -1, 1, 1, 0], [1, -1, 0, 1, 1, 1], [0, 0, 1, 1, 1, -1]]"
small_10k,3x3-7x7,Line00032_T553K.s14p,Line00032,5,4,5,20,7,6,7,0.35,0.3,0.35,2.072887302606199e-06,2.3777718430237138e-05,8.732027093665428e-05,6.779716211505725e-07,31965665466.346756,553.4625932908364,,,"[[1, 1, -1, 0, 1], [1, -1, 0, 0, 0], [-1, 1, 1, 1, -1], [0, 0, 0, -1, -1]]"
small_10k,3x3-7x7,Line00033_T385K.s12p,Line00033,4,4,4,16,6,7,3,0.375,0.4375,0.1875,4.786948661456603e-06,4.515771387119536e-05,9.509888054108212e-05,2.3376776095097144e-06,80367744945.44638,384.61037177139195,,,"[[1, -1, -1, 1], [-1, 1, -1, 1], [-1, 1, -1, -1], [1, 0, 0, 0]]"
small_10k,3x3-7x7,Line00034_T525K.s14p,Line00034,7,4,7,28,7,12,9,0.25,0.42857142857142855,0.32142857142857145,5.105651842967987e-06,3.363214161012072e-05,9.723029302414259e-05,2.6460318796075296e-06,42956503334.764336,525.2613203374492,,,"[[-1, 0, -1, -1, 1, 0, -1], [-1, 1, 1, 1, -1, 1, 0], [0, 1, -1, 0, 0, 0, 1], [-1, -1, 0, -1, -1, 0, -1]]"
small_10k,3x3-7x7,Line00035_T588K.s6p,Line00035,5,3,5,15,3,7,5,0.2,0.4666666666666667,0.3333333333333333,3.986244762732311e-06,3.558472344876814e-05,7.190540698037244e-05,7.499622179046584e-07,5443181145.062154,587.5624490649595,,,"[[-1, 1, 1, 0, 1], [-1, -1, 0, 0, -1], [0, -1, 0, -1, -1]]"
small_10k,3x3-7x7,Line00036_T584K.s28p,Line00036,6,5,6,30,14,6,10,0.4666666666666667,0.2,0.3333333333333333,2.3331376447810384e-06,2.3668165890339244e-05,8.409763703604476e-05,1.8842576308645019e-06,21351516712.92047,583.8583628645071,,,"[[-1, 0, 1, 1, 0, 1], [0, -1, -1, 0, 1, 1], [1, -1, 0, 0, 1, 1], [1, 1, -1, 1, 0, 0], [1, 1, 1, 0, -1, 0]]"
small_10k,3x3-7x7,Line00037_T506K.s16p,Line00037,7,3,7,21,8,6,7,0.38095238095238093,0.2857142857142857,0.3333333333333333,2.2234846187094e-06,4.948142227164035e-05,8.183663080659956e-05,2.2645787096967363e-06,96868329203.01608,506.4090030525117,,,"[[-1, 1, 0, 1, 0, -1, 1], [1, 0, -1, -1, 0, 1, -1], [1, 0, 0, 0, 1, 1, -1]]"
small_10k,3x3-7x7,Line00038_T474K.s14p,Line00038,6,4,6,24,7,10,7,0.2916666666666667,0.4166666666666667,0.2916666666666667,3.586606407817008e-06,5.567587635107107e-05,6.586419286768102e-05,1.7833154217309825e-06,23399484435.210327,474.3916251680347,,,"[[-1, 0, -1, -1, 0, 0], [-1, 1, 1, 1, 1, -1], [0, 0, -1, -1, 0, -1], [1, 1, -1, 1, -1, 0]]"
small_10k,3x3-7x7,Line00039_T427K.s14p,Line00039,7,7,3,21,7,8,6,0.3333333333333333,0.38095238095238093,0.2857142857142857,5.013512741035767e-06,3.505038342123663e-05,6.334002866794675e-05,2.442867289818592e-06,55884584548.606926,427.2666027740929,,,"[[0, 0, 0], [0, -1, -1], [1, -1, 1], [0, 1, 1], [1, 0, 1], [-1, -1, -1], [1, -1, -1]]"
small_10k,3x3-7x7,Line00040_T524K.s12p,Line00040,5,4,5,20,6,10,4,0.3,0.5,0.2,3.874642567976505e-06,2.2252131027273497e-05,6.475271665072287e-05,7.938156169427622e-07,64956109181.39475,523.813463779627,,,"[[1, -1, -1, 0, -1], [-1, 1, 0, -1, 1], [-1, -1, 0, -1, -1], [1, -1, 1, 0, 1]]"
